Gene locus	CHR	Lead SNP	BP	P-value (Overall)	GWAS study	Closest Peak Distance	Peak Start	Peak End	logFC(Neuron/other two)	logFC(Microglia/other two)	logFC(Olig/other two)	dominant_cell_type	dominant_cell_type_specificity	2nd_cell_type_specificity	3rd_cell_type_specificity
APOE	chr19	rs41289512	45351516	5.79E-276	Jansen	0	45347500	45352552	-0.599051558	0.702466985	-0.103402899	1	0.702466985	-0.103402899	-0.599051558
BIN1	chr2	rs6733839	127892810	2.10E-44	Kunkle	0	127824833	127857093	-0.744462694	0.211415139	0.533064808	2	0.533064808	0.211415139	-0.744462694
BIN1	chr2	rs4663105	127891427	3.38E-44	Jansen	0	127824833	127857093	-0.744462694	0.211415139	0.533064808	2	0.533064808	0.211415139	-0.744462694
PICALM	chr11	rs3851179	85868640	6.00E-25	Kunkle	0	85865576	85869702	-2.003772477	1.175357699	0.828425616	1	1.175357699	0.828425616	-2.003772477
CR1	chr1	rs4844610	207802552	3.60E-24	Kunkle	0	207800766	207803241	-1.496538907	0.411639699	1.084907206	2	1.084907206	0.411639699	-1.496538907
CLU/PTK2B	chr8	rs9331896	27467686	4.60E-24	Kunkle	0	27464855	27473351	-0.146423136	-0.342092698	0.488530519	2	0.488530519	-0.146423136	-0.342092698
CLU/PTK2B	chr8	rs4236673	27464929	2.61E-19	Jansen	0	27464855	27473351	-0.146423136	-0.342092698	0.488530519	2	0.488530519	-0.146423136	-0.342092698
PICALM	chr11	rs867611	85776544	2.19E-18	Jansen	0	85773701	85782052	-0.878318768	0.59296884	0.285364043	1	0.59296884	0.285364043	-0.878318768
TREM2	chr6	rs75932628	41129252	2.70E-15	Kunkle	0	41123195	41131918	-1.3555633	2.011559515	-0.655985632	1	2.011559515	-0.655985632	-1.3555633
CLU/PTK2B	chr8	rs73223431	27219987	6.30E-14	Kunkle	0	27216401	27226944	0.804019973	0.334689571	-1.138697236	3	0.804019973	0.334689571	-1.138697236
SPI1	chr11	rs3740688	47380340	5.40E-13	Kunkle	0	47379638	47380774	0.036871997	0.607042966	-0.643907383	1	0.607042966	0.036871997	-0.643907383
SORL1	chr11	rs11218343	121435587	2.90E-12	Kunkle	0	121434568	121439029	-0.360132993	0.8441546	-0.484011059	1	0.8441546	-0.360132993	-0.484011059
SORL1	chr11	rs11218343	121435587	1.09E-11	Jansen	0	121434568	121439029	-0.360132993	0.8441546	-0.484011059	1	0.8441546	-0.360132993	-0.484011059
HLA-DRB1	chr6	rs9271058	32575406	1.40E-11	Kunkle	0	32575148	32577842	-1.386968687	2.093033774	-0.706057504	1	2.093033774	-0.706057504	-1.386968687
EPHA1	chr7	rs7810606	143108158	3.59E-11	Jansen	0	143106905	143108283	-0.303851955	0.835592345	-0.531732978	1	0.835592345	-0.303851955	-0.531732978
ABCA7	chr19	rs111278892	1039323	7.93E-11	Jansen	0	1038908	1043234	-0.296373211	0.332547828	-0.036162888	1	0.332547828	-0.036162888	-0.296373211
HLA-DRB1	chr6	rs6931277	32583357	8.41E-11	Jansen	0	32582269	32584446	-1.301789562	1.992085151	-0.690289688	1	1.992085151	-0.690289688	-1.301789562
ADAMTS4	chr1	rs4575098	161155392	2.05E-10	Jansen	0	161148711	161156367	-0.549341105	0.511794299	0.037559007	1	0.511794299	0.037559007	-0.549341105
CASS4	chr20	rs6014724	54998544	6.56E-10	Jansen	0	54994953	54999360	-0.82514278	1.586379997	-0.761227739	1	1.586379997	-0.761227739	-0.82514278
NYAP1	chr7	rs12539172	100091795	9.30E-10	Kunkle	0	100085037	100088295	0.016179468	-0.325104173	0.308936027	2	0.308936027	0.016179468	-0.325104173
ADAM10	chr15	rs442495	59022615	1.31E-09	Jansen	0	59020947	59024537	-0.854287247	0.363816841	0.49048051	2	0.49048051	0.363816841	-0.854287247
ECHDC3	chr10	rs7920721	11720308	2.30E-09	Kunkle	0	11714504	11720725	-0.443367527	1.535382419	-1.092004912	1	1.535382419	-0.443367527	-1.092004912
INPP5D	chr2	rs10933431	233981912	3.40E-09	Kunkle	0	233976966	233984034	-0.751579648	1.610757377	-0.859166938	1	1.610757377	-0.751579648	-0.859166938
CD33	chr19	rs3865444	51727962	6.34E-09	Jansen	0	51727712	51728032	0.09666484	1.050643064	-1.147304253	1	1.050643064	0.09666484	-1.147304253
ACE	chr17	rs138190086	61538148	7.50E-09	Kunkle	0	61538112	61538580	-0.090757218	0.725122365	-0.634360388	1	0.725122365	-0.090757218	-0.634360388
ECHDC3	chr10	rs11257238	11717397	1.26E-08	Jansen	0	11714504	11720725	-0.443367527	1.535382419	-1.092004912	1	1.535382419	-0.443367527	-1.092004912
ALPK2	chr18	rs76726049	56189459	3.30E-08	Jansen	0	56193436	56194075	-0.772160797	1.372526359	-0.600361544	1	1.372526359	-0.600361544	-0.772160797
APH1B	chr15	rs117618017	63569902	3.35E-08	Jansen	0	63567370	63571899	-0.182293607	0.063658874	0.118647308	2	0.118647308	0.063658874	-0.182293607
